titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000
timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1523590817000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523591116000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523591116000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523591116000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523591716000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592015000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592015000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592015000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523592015000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592315000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592315000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523592315000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523621999000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622298000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622298000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622298000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523622298000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622597000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622597000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622597000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523622597000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622897000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622897000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523622897000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523622897000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623196000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623196000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623196000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523623196000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623496000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623496000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623496000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523623496000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623796000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623796000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523623796000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523623796000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624095000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624095000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624095000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523624095000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624395000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624395000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624395000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523624395000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624694000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624694000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523624694000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523626191000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523626490000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523626490000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523626490000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523627090000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627389000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627389000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627389000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523627389000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627688000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627688000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523627688000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523629186000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629485000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629485000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629485000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523629485000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629785000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629785000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523629785000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523629785000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630084000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630084000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630084000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523630084000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630384000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630384000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630384000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523630384000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630684000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630684000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630684000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523630684000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630983000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630983000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523630983000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523641471000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641771000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641771000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523641771000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523646565000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523646865000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523646865000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523646865000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523646865000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647166000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647166000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647166000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523647166000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647467000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647467000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647467000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523647467000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647766000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647766000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523647766000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523774546000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523774846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523774846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523774846000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523774846000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775146000,0,0,0,0,0,0,0,0,0,0,0,0,0
1523775146000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775446000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1523775446000,0,0,0,0,0,0,0,0,0,0,0,0,0
