titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,titan__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,cotrec__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,persistence__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000,measurements__cappi2000
timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,forecast,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13,timestamp,ORP1,ORP2,ORP3,ORP4,ORP5,ORP6,ORP7,ORP8,ORP9,ORP10,ORP11,ORP12,ORP13
1586781240000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781523000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781523000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781523000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586781523000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781806000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781806000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586781806000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586782411000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782695000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782695000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782695000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586782695000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782978000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782978000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586782978000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586783544000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586783826000,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1586783826000,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1586783826000,0,0,0,0,0,0,0,1,0,0,0,0,0
1586783826000,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1586784108000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586784108000,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1586784108000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586784108000,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1586784391000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586784391000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586784391000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586784956000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785238000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785238000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785238000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586785238000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785521000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785521000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785521000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586785521000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785804000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785804000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586785804000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586787216000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586787498000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586787498000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1586787498000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586787498000,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1586787781000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586787781000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586787781000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586787781000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586788064000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586788064000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586788064000,0,0,0,0,0,0,0,0,0,0,0,0,0
1586788629000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586788912000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1586788912000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586788912000,0,0,0,0,0,0,1,0,0,0,0,0,0
1586788912000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586789194000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1586789194000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1586789194000,0,0,0,0,0,0,0,0,0,0,0,0,0
